# mean, investigation_time=50.0, checksum=263994461
lon,lat,PGA-0.1,PGA-0.02,SA(0.075)-0.1,SA(0.075)-0.02,SA(0.1)-0.1,SA(0.1)-0.02,SA(0.2)-0.1,SA(0.2)-0.02,SA(0.3)-0.1,SA(0.3)-0.02,SA(0.4)-0.1,SA(0.4)-0.02,SA(0.5)-0.1,SA(0.5)-0.02,SA(0.75)-0.1,SA(0.75)-0.02,SA(1.0)-0.1,SA(1.0)-0.02,SA(1.5)-0.1,SA(1.5)-0.02,SA(2.0)-0.1,SA(2.0)-0.02,SA(2.5)-0.1,SA(2.5)-0.02,SA(3.0)-0.1,SA(3.0)-0.02
172.14699,-43.90342,4.181147E-01,7.867903E-01,7.122590E-01,1.334153E+00,8.426124E-01,1.575986E+00,1.024132E+00,1.912825E+00,9.224562E-01,1.739483E+00,8.301755E-01,1.564814E+00,7.651337E-01,1.428343E+00,6.161120E-01,1.126710E+00,5.007517E-01,9.098989E-01,3.426857E-01,6.060663E-01,2.512016E-01,4.357527E-01,1.927144E-01,3.355258E-01,1.566413E-01,2.754574E-01
172.15944,-43.90352,4.202160E-01,7.903193E-01,7.159969E-01,1.340001E+00,8.470840E-01,1.582916E+00,1.028948E+00,1.921341E+00,9.262866E-01,1.747761E+00,8.331277E-01,1.572136E+00,7.673689E-01,1.434560E+00,6.164353E-01,1.129723E+00,5.005088E-01,9.112285E-01,3.421598E-01,6.060086E-01,2.507478E-01,4.354204E-01,1.922764E-01,3.350408E-01,1.562445E-01,2.749336E-01
172.17190,-43.90361,4.218577E-01,7.924655E-01,7.189630E-01,1.343694E+00,8.506268E-01,1.587353E+00,1.032705E+00,1.926978E+00,9.291185E-01,1.753212E+00,8.349959E-01,1.576517E+00,7.679043E-01,1.436744E+00,6.130071E-01,1.124698E+00,4.966079E-01,9.052812E-01,3.395697E-01,6.020432E-01,2.488306E-01,4.324894E-01,1.907417E-01,3.325768E-01,1.549234E-01,2.728088E-01
172.18435,-43.90370,4.235788E-01,7.946730E-01,7.220518E-01,1.347469E+00,8.543228E-01,1.591902E+00,1.036685E+00,1.932832E+00,9.322288E-01,1.758995E+00,8.372734E-01,1.581555E+00,7.693160E-01,1.440518E+00,6.122113E-01,1.124895E+00,4.953896E-01,9.044228E-01,3.385264E-01,6.008785E-01,2.479586E-01,4.314322E-01,1.900390E-01,3.315459E-01,1.543053E-01,2.718565E-01
171.58697,-43.88887,3.564718E-01,6.772744E-01,5.932827E-01,1.142766E+00,7.051529E-01,1.351254E+00,8.933165E-01,1.651453E+00,8.383112E-01,1.522710E+00,7.759900E-01,1.392388E+00,7.299118E-01,1.288293E+00,6.208656E-01,1.061757E+00,5.170634E-01,8.860178E-01,3.683387E-01,6.286308E-01,2.719967E-01,4.610342E-01,2.104525E-01,3.622624E-01,1.718176E-01,3.013183E-01
171.59942,-43.88902,3.563202E-01,6.771479E-01,5.933871E-01,1.143194E+00,7.051992E-01,1.351781E+00,8.927059E-01,1.651118E+00,8.371195E-01,1.521031E+00,7.745840E-01,1.389930E+00,7.285079E-01,1.286082E+00,6.195616E-01,1.059838E+00,5.159287E-01,8.841904E-01,3.673405E-01,6.269823E-01,2.712907E-01,4.597696E-01,2.099279E-01,3.611991E-01,1.713809E-01,3.005216E-01
171.61186,-43.88917,3.563356E-01,6.778049E-01,5.937866E-01,1.144856E+00,7.055771E-01,1.353721E+00,8.924659E-01,1.652279E+00,8.362287E-01,1.520631E+00,7.734488E-01,1.388609E+00,7.273844E-01,1.284906E+00,6.186848E-01,1.059062E+00,5.151932E-01,8.833685E-01,3.666027E-01,6.258830E-01,2.707517E-01,4.588852E-01,2.095269E-01,3.604290E-01,1.710488E-01,2.999202E-01
171.62431,-43.88932,3.564683E-01,6.790421E-01,5.943980E-01,1.147358E+00,7.061936E-01,1.356631E+00,8.924864E-01,1.654449E+00,8.355342E-01,1.521075E+00,7.724640E-01,1.387957E+00,7.263419E-01,1.284194E+00,6.176764E-01,1.058228E+00,5.142999E-01,8.823948E-01,3.657542E-01,6.246855E-01,2.701380E-01,4.579281E-01,2.090664E-01,3.595996E-01,1.706646E-01,2.991817E-01
171.63676,-43.88947,3.566982E-01,6.804116E-01,5.951807E-01,1.150030E+00,7.070042E-01,1.359749E+00,8.927392E-01,1.656930E+00,8.350418E-01,1.521878E+00,7.716770E-01,1.387686E+00,7.255427E-01,1.283976E+00,6.172153E-01,1.058492E+00,5.139549E-01,8.825196E-01,3.652711E-01,6.241096E-01,2.697624E-01,4.574068E-01,2.087851E-01,3.591085E-01,1.704330E-01,2.987227E-01
171.64920,-43.88962,3.569266E-01,6.813639E-01,5.959707E-01,1.152025E+00,7.078220E-01,1.362099E+00,8.929915E-01,1.658635E+00,8.345363E-01,1.522058E+00,7.708501E-01,1.386862E+00,7.246184E-01,1.283099E+00,6.162474E-01,1.057497E+00,5.130827E-01,8.814337E-01,3.644320E-01,6.228280E-01,2.691528E-01,4.563790E-01,2.083252E-01,3.582198E-01,1.700481E-01,2.979365E-01
171.66165,-43.88977,3.571753E-01,6.820727E-01,5.968005E-01,1.153612E+00,7.086874E-01,1.363997E+00,8.933077E-01,1.660057E+00,8.340896E-01,1.522127E+00,7.700648E-01,1.386023E+00,7.236775E-01,1.282148E+00,6.149777E-01,1.055947E+00,5.118799E-01,8.797567E-01,3.633806E-01,6.212391E-01,2.684061E-01,4.551413E-01,2.077606E-01,3.571690E-01,1.695738E-01,2.970149E-01
171.67409,-43.88991,3.574633E-01,6.824839E-01,5.977020E-01,1.154715E+00,7.096340E-01,1.365344E+00,8.937222E-01,1.661006E+00,8.337304E-01,1.521871E+00,7.693553E-01,1.384981E+00,7.228057E-01,1.281027E+00,6.137720E-01,1.054333E+00,5.107315E-01,8.780440E-01,3.623634E-01,6.196183E-01,2.676802E-01,4.538721E-01,2.072102E-01,3.560874E-01,1.691110E-01,2.960690E-01
